"","date","n_correos"
"797",2011-03-26,0
"798",2011-03-27,0
"799",2011-03-28,8
"800",2011-03-29,9
"801",2011-03-30,5
"802",2011-03-31,10
"803",2011-04-01,8
"804",2011-04-02,5
"805",2011-04-03,1
"806",2011-04-04,2
"807",2011-04-05,1
"808",2011-04-06,10
"809",2011-04-07,7
"810",2011-04-08,0
"811",2011-04-09,0
"812",2011-04-10,0
"813",2011-04-11,1
"814",2011-04-12,0
"815",2011-04-13,1
"816",2011-04-14,2
"817",2011-04-15,0
"818",2011-04-16,0
"819",2011-04-17,0
"820",2011-04-18,1
"821",2011-04-19,0
"822",2011-04-20,4
"823",2011-04-21,8
"824",2011-04-22,3
"825",2011-04-23,2
"826",2011-04-24,6
"827",2011-04-25,0
"828",2011-04-26,1
"829",2011-04-27,0
"830",2011-04-28,0
"831",2011-04-29,3
"832",2011-04-30,3
"833",2011-05-01,1
"834",2011-05-02,1
"835",2011-05-03,6
"836",2011-05-04,0
"837",2011-05-05,4
"838",2011-05-06,2
"839",2011-05-07,1
"840",2011-05-08,2
"841",2011-05-09,1
"842",2011-05-10,1
"843",2011-05-11,2
"844",2011-05-12,4
"845",2011-05-13,3
"846",2011-05-14,5
"847",2011-05-15,1
"848",2011-05-16,1
"849",2011-05-17,0
"850",2011-05-18,4
"851",2011-05-19,0
"852",2011-05-20,1
"853",2011-05-21,4
"854",2011-05-22,1
"855",2011-05-23,1
"856",2011-05-24,0
"857",2011-05-25,2
"858",2011-05-26,0
"859",2011-05-27,1
"860",2011-05-28,0
"861",2011-05-29,0
"862",2011-05-30,7
"863",2011-05-31,3
"864",2011-06-01,2
"865",2011-06-02,2
"866",2011-06-03,4
"867",2011-06-04,2
"868",2011-06-05,3
"869",2011-06-06,0
"870",2011-06-07,1
"871",2011-06-08,0
"872",2011-06-09,3
"873",2011-06-10,2
"874",2011-06-11,4
"875",2011-06-12,0
"876",2011-06-13,2
"877",2011-06-14,1
"878",2011-06-15,0
"879",2011-06-16,5
"880",2011-06-17,4
"881",2011-06-18,2
"882",2011-06-19,4
"883",2011-06-20,3
"884",2011-06-21,3
"885",2011-06-22,6
"886",2011-06-23,6
"887",2011-06-24,3
"888",2011-06-25,1
"889",2011-06-26,0
"890",2011-06-27,0
"891",2011-06-28,1
"892",2011-06-29,2
"893",2011-06-30,1
"894",2011-07-01,3
"895",2011-07-02,0
"896",2011-07-03,0
"897",2011-07-04,0
"898",2011-07-05,3
"899",2011-07-06,7
"900",2011-07-07,2
"901",2011-07-08,4
"902",2011-07-09,3
"903",2011-07-10,1
"904",2011-07-11,2
"905",2011-07-12,0
"906",2011-07-13,6
"907",2011-07-14,0
"908",2011-07-15,2
"909",2011-07-16,9
"910",2011-07-17,1
"911",2011-07-18,8
"912",2011-07-19,7
"913",2011-07-20,0
"914",2011-07-21,5
"915",2011-07-22,3
"916",2011-07-23,0
"917",2011-07-24,0
"918",2011-07-25,0
"919",2011-07-26,0
"920",2011-07-27,0
"921",2011-07-28,0
"922",2011-07-29,3
"923",2011-07-30,2
"924",2011-07-31,0
"925",2011-08-01,0
"926",2011-08-02,1
"927",2011-08-03,0
"928",2011-08-04,1
"929",2011-08-05,0
"930",2011-08-06,0
"931",2011-08-07,0
"932",2011-08-08,1
"933",2011-08-09,2
"934",2011-08-10,2
"935",2011-08-11,0
"936",2011-08-12,0
"937",2011-08-13,0
"938",2011-08-14,0
"939",2011-08-15,0
"940",2011-08-16,0
"941",2011-08-17,2
"942",2011-08-18,3
"943",2011-08-19,3
"944",2011-08-20,0
"945",2011-08-21,3
"946",2011-08-22,6
